Data Analisi;Gran Grup;Llista_Pre;Intervencions_Pre;Derivades_Pre;En llista;Intervencions;IQs derivades i realitzades a UP desti;En baixa temporal;IQs en baixa temporal;Intervencions fora termini;n;Sortides;Dies en llista;Dies en llista (sense BT);ED0-25;ED100+;ED26-50;ED51-75;ED76-100;EE0-25;EE100+;EE26-50;EE51-75;EE76-100
01/10/2016;2;14;9;1;14;9;1;5;5;2;186;9;10864;8231;0;0;0;0;0;0;0;2;0;0
01/10/2016;3;26;8;0;26;8;0;0;0;0;109;10;2880;2816;0;1;0;0;0;0;0;0;0;0
01/10/2016;4;567;71;383;567;71;383;54;60;32;2250;81;380019;360155;67;1;28;0;1;19;0;13;0;0
01/10/2016;5;4422;518;618;4422;518;618;93;97;54;13424;589;2543082;2479178;254;259;191;142;95;21;10;14;3;6
01/11/2016;1;99;75;10;99;75;10;30;30;17;1227;83;50358;43037;5;1;5;1;1;10;0;5;3;0
01/11/2016;2;13;8;1;13;8;1;11;11;2;183;9;10496;8026;0;0;0;0;0;2;0;0;0;0
01/11/2016;3;18;10;0;18;10;0;0;0;1;108;16;3316;3276;0;0;0;0;0;1;0;0;0;0
01/11/2016;4;506;88;343;506;88;343;124;129;42;2222;106;365419;344519;37;0;10;1;0;26;1;12;3;0
01/11/2016;5;4602;508;610;4602;508;610;104;110;46;13504;591;2555236;2492740;286;268;167;169;77;17;9;7;8;5
01/12/2016;1;75;68;6;75;68;6;47;47;14;1194;71;49654;41848;0;0;0;0;0;4;2;2;3;3
01/12/2016;2;13;7;1;13;7;1;8;8;2;176;9;10665;8042;0;0;0;0;0;2;0;0;0;0
01/12/2016;3;17;5;0;17;5;0;0;0;0;112;8;3796;3756;0;0;0;0;0;0;0;0;0;0
01/12/2016;4;491;29;337;491;29;337;86;92;9;2202;54;365011;343147;0;0;0;0;0;5;0;4;0;0
01/12/2016;5;4538;333;587;4538;333;587;114;118;23;13490;406;2631676;2568882;294;269;188;153;102;9;4;5;4;1
01/01/2017;1;96;76;2;96;76;2;20;20;27;1199;81;48925;41131;7;1;5;5;0;13;4;8;3;5
01/01/2017;2;13;15;1;13;15;1;7;7;5;183;15;10990;8387;0;0;0;0;0;5;0;0;0;0
01/01/2017;3;15;9;0;15;9;0;0;0;2;123;14;4248;4208;1;0;0;0;0;2;0;0;0;0
01/01/2017;4;507;48;306;507;48;306;57;61;8;2220;62;362139;339226;25;0;2;1;0;5;0;3;0;0
01/01/2017;5;4832;440;519;4832;440;519;83;84;25;13710;522;2680027;2619103;318;292;193;146;116;5;4;8;6;2
01/02/2017;1;83;85;41;83;85;41;25;25;18;2282;89;112600;100379;2;0;1;1;1;3;1;6;6;3
01/02/2017;2;22;15;1;22;15;1;7;7;3;346;16;19283;15818;0;0;0;0;0;3;0;0;0;0
01/02/2017;3;17;12;0;17;12;0;0;0;2;204;17;5943;5879;0;0;0;0;0;2;0;0;0;0
01/02/2017;4;506;65;784;506;65;784;37;40;16;3935;82;842497;803822;11;0;7;1;1;12;0;4;0;0
01/02/2017;5;4877;540;1364;4877;540;1364;112;115;35;22440;648;4402440;4290424;355;300;210;118;126;11;6;9;4;5
01/03/2017;1;99;84;40;99;84;40;11;11;9;2305;94;113632;101172;5;0;3;1;0;4;1;3;1;2
01/03/2017;2;24;13;1;24;13;1;8;8;0;351;16;19528;15791;0;0;0;0;0;0;0;0;0;0
01/03/2017;3;21;13;0;21;13;0;0;0;0;214;13;6474;6410;0;0;0;0;0;0;0;0;0;0
01/03/2017;4;506;61;822;506;61;822;38;40;6;3980;66;865676;826361;14;0;3;2;0;3;0;2;1;0
01/03/2017;5;4922;633;1332;4922;633;1332;132;136;49;22702;762;4408679;4297665;337;302;212;131;112;21;13;8;5;2
01/04/2017;1;108;61;35;108;61;35;17;17;11;2302;65;111676;98925;9;2;2;0;3;7;0;3;2;1
01/04/2017;2;27;5;1;27;5;1;15;15;0;355;5;19977;15960;0;0;0;0;0;0;0;0;0;0
01/04/2017;3;14;11;0;14;11;0;0;0;0;211;12;6852;6788;0;0;0;0;0;0;0;0;0;0
01/04/2017;4;490;40;832;490;40;832;52;54;1;3984;50;875732;835372;9;0;10;3;1;0;0;1;0;0
01/04/2017;5;4954;464;1314;4954;464;1314;120;122;32;22745;548;4442407;4331609;396;313;227;134;96;9;11;3;5;4
01/05/2017;1;76;88;41;76;88;41;24;24;26;1660;94;90948;80404;1;0;0;3;0;19;1;4;4;1
01/05/2017;2;24;19;1;24;19;1;16;16;2;271;19;15796;11883;0;0;0;0;0;2;0;0;0;0
01/05/2017;3;8;15;0;8;15;0;0;0;0;179;16;6321;6281;0;0;0;0;0;0;0;0;0;0
